,Município Acidente,Ano,Mês,Sexo,Turno Acidente,Tipo de Acidente,Meio de Locomoção da Vítima,Faixa Etária,Latitude Acidente,Longitude Acidente
234,Campinas,2016,12,Masculino,Não Disponível,Não Especificado,Motocicleta,40-44,-22.906010734,-47.1060250468
235,Campinas,2016,12,Masculino,Tarde,Colisão,Motocicleta,45-49,-22.853174022,-47.043345497
236,Campinas,2016,12,Masculino,Noite,Choque,Automóvel,55-59,-22.9468190978,-47.0897178492
237,Campinas,2016,12,Masculino,Tarde,Choque,Automóvel,70-74,-22.993375,-47.116013
238,Campinas,2016,12,Masculino,Manhã,Não Especificado,Automóvel,75-79,Não Disponível,Não Disponível 
239,Campinas,2016,12,Feminino,Noite,Atropelamento,Pedestre,80 Ou Mais,Não Disponível,Não Disponível 
240,Campinas,2017,1,Feminino,Tarde,Colisão,Motocicleta,18-24,-22.938425427,-47.106594557
241,Campinas,2017,1,Masculino,Manhã,Atropelamento,Pedestre,18-24,-22.84417419,-47.038399602
242,Campinas,2017,1,Masculino,Não Disponível,Colisão,Motocicleta,18-24,-22.9349,-47.18916
243,Campinas,2017,1,Masculino,Não Disponível,Colisão,Motocicleta,18-24,-22.951561,-47.121737
244,Campinas,2017,1,Masculino,Noite,Não Disponível,Motocicleta,18-24,-22.935437,-47.188361
245,Campinas,2017,1,Masculino,Madrugada,Atropelamento,Pedestre,30-34,-23.0462247623,-47.1376104239
246,Campinas,2017,1,Masculino,Tarde,Colisão,Motocicleta,35-39,-22.926507,-47.126129
247,Campinas,2017,1,Masculino,Noite,Atropelamento,Pedestre,45-49,-22.8453703562,-47.0797443031
248,Campinas,2017,1,Masculino,Noite,Colisão,Motocicleta,45-49,-22.897018,-47.107788
249,Campinas,2017,1,Masculino,Madrugada,Colisão,Motocicleta,50-54,-22.97489022,-47.048333287
250,Campinas,2017,1,Masculino,Não Disponível,Atropelamento,Pedestre,55-59,-22.981249,-47.083034
251,Campinas,2017,1,Masculino,Tarde,Colisão,Automóvel,60-64,-22.752089,-46.989259
252,Campinas,2017,1,Feminino,Manhã,Atropelamento,Pedestre,65-69,Não Disponível,Não Disponível 
253,Campinas,2017,1,Masculino,Manhã,Atropelamento,Pedestre,Não Disponível,-22.84417419,-47.038399602
254,Campinas,2017,2,Masculino,Noite,Colisao,Motocicleta,0-17,-22.95748,-47.200031
255,Campinas,2017,2,Masculino,Noite,Atropelamento,Pedestre,18-24,-22.7880632663,-47.030314024
256,Campinas,2017,2,Masculino,Noite,Nao Disponivel,Nao Disponivel,18-24,-22.929896,-47.085601
257,Campinas,2017,2,Masculino,Madrugada,Atropelamento,Pedestre,25-29,-22.9377416085,-47.0851882809
258,Campinas,2017,2,Masculino,Madrugada,Outros,Motocicleta,25-29,-22.89849,-47.047332
259,Campinas,2017,2,Masculino,Manhã,Colisao,Motocicleta,25-29,-22.887396,-47.122145
260,Campinas,2017,2,Masculino,Noite,Colisao,Bicicleta,25-29,-23.0521497598,-47.1433172281
261,Campinas,2017,2,Masculino,Noite,Colisao,Caminhao,25-29,-23.037969374,-47.068855812
262,Campinas,2017,2,Feminino,Noite,Colisao,Motocicleta,30-34,-22.883086695,-47.115441749
263,Campinas,2017,2,Feminino,Não Disponível,Atropelamento,Pedestre,50-54,-22.820342,-47.068068
264,Campinas,2017,2,Masculino,Madrugada,Atropelamento,Pedestre,60-64,-22.91145011,-47.101403475
265,Campinas,2017,2,Masculino,Noite,Atropelamento,Pedestre,Não Disponível,-22.856012,-47.044429
266,Campinas,2017,3,Masculino,Nao Disponivel,Atropelamento,Pedestre,18-24,-22.925179,-47.126993
267,Campinas,2017,3,Masculino,Tarde,Choque,Motocicleta,25-29,-23.0308914881,-47.1142509304
268,Campinas,2017,3,Masculino,Madrugada,Atropelamento,Pedestre,40-44,NAO DISPONIVEL,NAO DISPONIVEL 
269,Campinas,2017,3,Masculino,Tarde,Atropelamento,Pedestre,40-44,-22.947271,-47.186595
270,Campinas,2017,3,Masculino,Manha,Atropelamento,Pedestre,50-54,-22.915047536,-47.0662084025
271,Campinas,2017,3,Masculino,Noite,Nao Disponivel,Nao Disponivel,50-54,NAO DISPONIVEL,NAO DISPONIVEL 
272,Campinas,2017,3,Feminino,Madrugada,Atropelamento,Pedestre,55-59,-22.870513,-47.14127
273,Campinas,2017,3,Feminino,Tarde,Colisao,Nao Disponivel,65-69,-23.031053,-47.114355
274,Campo Limpo Paulista,2017,3,Masculino,Madrugada,Colisao,Automovel,18-24,-23.225822111,-46.773667178
275,Campos Do Jordao,2016,12,Masculino,Manhã,Atropelamento,Pedestre,50-54,-22.73475,-45.586773
276,Campos Do Jordao,2017,1,Masculino,Tarde,Colisão,Motocicleta,18-24,-22.717797,-45.570047
277,Campos Novos Paulista,2017,3,Masculino,Tarde,Choque,Automovel,25-29,-22.70008,-50.034169
278,Campos Novos Paulista,2017,3,Masculino,Tarde,Outros,Caminhao,30-34,-22.646041,-49.970405
279,Cananeia,2017,3,Masculino,Madrugada,Outros,Automovel,35-39,-24.961036,-47.911167
280,Canas,2017,3,Masculino,Madrugada,Outros,Motocicleta,25-29,-22.7123571653,-45.0517935424
281,Candido Mota,2017,2,Masculino,Madrugada,Outros,Automovel,18-24,-22.7239614515,-50.3298393853
282,Candido Mota,2017,3,Feminino,Noite,Colisao,Automovel,45-49,-22.7140759702,-50.3028250689
283,Candido Mota,2017,3,Masculino,Noite,Colisao,Automovel,50-54,-22.7140759702,-50.3028250689
284,Candido Mota,2017,3,Feminino,Noite,Colisao,Automovel,65-69,-22.7140759702,-50.3028250689
285,Candido Mota,2017,3,Masculino,Noite,Colisao,Automovel,65-69,-22.7140759702,-50.3028250689
286,Capao Bonito,2017,1,Masculino,Tarde,Colisão,Automóvel,45-49,-24.1100887353,-48.4504564817
287,Capao Bonito,2017,2,Masculino,Não Disponível,Colisao,Motocicleta,50-54,-24.0047893813,-48.3231933664
288,Capao Bonito,2017,2,Feminino,Tarde,Outros,Automovel,75-79,-23.960063054,-48.4318948202
289,Capao Bonito,2017,3,Feminino,Tarde,Nao Disponivel,Automovel,25-29,-24.0340654967,-48.3487338527
290,Capao Bonito,2017,3,Feminino,Noite,Colisao,Automovel,45-49,-23.964192853,-48.39573503
291,Capao Bonito,2017,3,Feminino,Noite,Colisao,Automovel,70-74,-23.964192853,-48.39573503
292,Capela Do Alto,2017,2,Masculino,Manhã,Colisao,Motocicleta,35-39,-23.5509229514,-47.7665954873
293,Caraguatatuba,2017,1,Masculino,Manhã,Atropelamento,Pedestre,18-24,-23.6146511699,-45.3845780187
294,Caraguatatuba,2017,1,Masculino,Tarde,Atropelamento,Pedestre,18-24,-23.703208,-45.447767
295,Caraguatatuba,2017,2,Masculino,Noite,Atropelamento,Pedestre,70-74,-23.693363772,-45.4424952574
296,Caraguatatuba,2017,3,Masculino,Tarde,Colisao,Bicicleta,55-59,-23.711314,-45.442333
297,Carapicuiba,2016,12,Masculino,Madrugada,Atropelamento,Pedestre,18-24,-23.56565519,-46.8414466022
298,Carapicuiba,2016,12,Masculino,Madrugada,Colisão,Motocicleta,30-34,-23.55566,-46.823586
299,Carapicuiba,2016,12,Masculino,Noite,Atropelamento,Pedestre,40-44,-23.552063889,-46.820413889
300,Carapicuiba,2016,12,Masculino,Tarde,Colisão,Motocicleta,40-44,-23.5635154049,-46.820256328
301,Carapicuiba,2016,12,Masculino,Tarde,Colisão,Motocicleta,45-49,-23.5635154049,-46.820256328
302,Carapicuiba,2016,12,Masculino,Noite,Atropelamento,Pedestre,80 Ou Mais,-23.549238,-46.840232
303,Carapicuiba,2016,12,Masculino,Noite,Atropelamento,Pedestre,Não Disponível,-23.540716667,-46.818063889
304,Carapicuiba,2017,2,Masculino,Manhã,Choque,Motocicleta,18-24,-23.523419444,-46.816522222
305,Carapicuiba,2017,2,Feminino,Manhã,Atropelamento,Pedestre,50-54,-23.523702,-46.820518
306,Carapicuiba,2017,2,Masculino,Noite,Atropelamento,Pedestre,55-59,-23.522934,-46.854328
307,Carapicuiba,2017,2,Masculino,Tarde,Atropelamento,Pedestre,80 Ou Mais,-23.526915,-46.835253
308,Carapicuiba,2017,3,Masculino,Madrugada,Colisao,Motocicleta,35-39,-23.557615,-46.843041
309,Carapicuiba,2017,3,Masculino,Manha,Colisao,Motocicleta,40-44,-23.520088,-46.856209
310,Carapicuiba,2017,3,Feminino,Tarde,Colisao,Motocicleta,50-54,-23.524116,-46.83028
311,Carapicuiba,2017,3,Feminino,Madrugada,Atropelamento,Pedestre,65-69,-23.552171,-46.825223
312,Castilho,2016,12,Masculino,Noite,Colisão,Automóvel,25-29,-20.960575,-51.504924
313,Catanduva,2016,12,Masculino,Madrugada,Colisão,Motocicleta,45-49,-21.151061,-48.989747
314,Catanduva,2016,12,Feminino,Noite,Atropelamento,Pedestre,50-54,-21.127636,-49.007143
315,Catanduva,2016,12,Masculino,Noite,Colisão,Automóvel,65-69,-21.2078366824,-48.9992205587
316,Catanduva,2017,1,Masculino,Manhã,Colisão,Motocicleta,40-44,-21.2078366824,-48.9992205587
317,Catanduva,2017,1,Masculino,Manhã,Colisão,Motocicleta,40-44,-21.2078366824,-48.9992205587
318,Catanduva,2017,1,Masculino,Noite,Choque,Não Disponível,50-54,-21.139494,-48.98336
319,Catanduva,2017,3,Masculino,Nao Disponivel,Outros,Automovel,40-44,-21.164605,-48.98852
320,Catanduva,2017,3,Masculino,Noite,Atropelamento,Pedestre,45-49,-21.140335,-48.953988
