;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;  Munic¡pio Acidente ;Ano;Mˆs;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomo‡Æo da V¡tima;Faixa Et ria;Latitude Acidente;Longitude Acidente;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPINAS; CAMPINAS ;2017; 2 ; MASCULINO ; MADRUGADA ; OUTROS ; MOTOCICLETA ; 25-29 ; -22.89849 ; -47.047332 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPINAS; CAMPINAS ;2017; 2 ; MASCULINO ; MANHÇ ; COLISAO ; MOTOCICLETA ; 25-29 ; -22.887396 ; -47.122145 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPINAS; CAMPINAS ;2017; 2 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 18-24 ; -22.7880632663246 ; -47.0303140239868 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPINAS; CAMPINAS ;2017; 2 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; NÆo Dispon¡vel ; -22.856012 ; -47.044429 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPINAS; CAMPINAS ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; BICICLETA ; 25-29 ; -23.0521497597829 ; -47.1433172280558 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPINAS; CAMPINAS ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; CAMINHAO ; 25-29 ; -23.0379693739999 ; -47.068855812 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPINAS; CAMPINAS ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 0-17 ; -22.95748 ; -47.200031 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPINAS; CAMPINAS ;2017; 2 ; MASCULINO ; NOITE ; NAO DISPONIVEL ; NAO DISPONIVEL ; 18-24 ; -22.929896 ; -47.085601 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANDIDO MOTA; CANDIDO MOTA ;2017; 2 ; MASCULINO ; MADRUGADA ; OUTROS ; AUTOMOVEL ; 18-24 ; -22.723961451548 ; -50.3298393852992 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAPAO BONITO; CAPAO BONITO ;2017; 2 ; FEMININO ; TARDE ; OUTROS ; AUTOMOVEL ; 75-79 ; -23.9600630540015 ; -48.4318948202298 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAPAO BONITO; CAPAO BONITO ;2017; 2 ; MASCULINO ; NÆo Dispon¡vel ; COLISAO ; MOTOCICLETA ; 50-54 ; -24.0047893812856 ; -48.3231933663782 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAPELA DO ALTO; CAPELA DO ALTO ;2017; 2 ; MASCULINO ; MANHÇ ; COLISAO ; MOTOCICLETA ; 35-39 ; -23.5509229513873 ; -47.766595487271 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CARAGUATATUBA; CARAGUATATUBA ;2017; 2 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 70-74 ; -23.6933637720111 ; -45.442495257387 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CARAPICUIBA; CARAPICUIBA ;2017; 2 ; FEMININO ; MANHÇ ; ATROPELAMENTO ; PEDESTRE ; 50-54 ; -23.523702 ; -46.820518 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CARAPICUIBA; CARAPICUIBA ;2017; 2 ; MASCULINO ; MANHÇ ; CHOQUE ; MOTOCICLETA ; 18-24 ; -23.523419444 ; -46.816522222 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CARAPICUIBA; CARAPICUIBA ;2017; 2 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 55-59 ; -23.522934 ; -46.854328 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CARAPICUIBA; CARAPICUIBA ;2017; 2 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 80 ou mais ; -23.526915 ; -46.835253 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLEMENTINA; CLEMENTINA ;2017; 2 ; FEMININO ; TARDE ; COLISAO ; AUTOMOVEL ; 25-29 ; -21.529748 ; -50.435234 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COTIA; COTIA ;2017; 2 ; MASCULINO ; TARDE ; COLISAO ; AUTOMOVEL ; 60-64 ; -23.5812476066115 ; -46.9210801650379 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COTIA; COTIA ;2017; 2 ; MASCULINO ; TARDE ; OUTROS ; MOTOCICLETA ; 35-39 ; -23.603348 ; -46.919637 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CRAVINHOS; CRAVINHOS ;2017; 2 ; MASCULINO ; MADRUGADA ; NAO DISPONIVEL ; MOTOCICLETA ; 25-29 ; -21.3156273582691 ; -47.7352502947021 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CUBATAO; CUBATAO ;2017; 2 ; MASCULINO ; MANHÇ ; CHOQUE ; CAMINHAO ; 45-49 ; -23.887042 ; -46.43463 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CUBATAO; CUBATAO ;2017; 2 ; MASCULINO ; TARDE ; COLISAO ; MOTOCICLETA ; 45-49 ; -23.8910198985283 ; -46.4921027119988 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CUNHA; CUNHA ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 55-59 ; -23.043125 ; -44.942989 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIADEMA; DIADEMA ;2017; 2 ; MASCULINO ; MADRUGADA ; NAO DISPONIVEL ; NAO DISPONIVEL ; 18-24 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIADEMA; DIADEMA ;2017; 2 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 35-39 ; -23.7155329902238 ; -46.6047964895392 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIADEMA; DIADEMA ;2017; 2 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; NÆo Dispon¡vel ; -23.674495771 ; -46.628288504 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DOBRADA; DOBRADA ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 35-39 ; -21.550121 ; -48.384369 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DRACENA; DRACENA ;2017; 2 ; MASCULINO ; MANHÇ ; ATROPELAMENTO ; PEDESTRE ; 65-69 ; -21.531979 ; -51.547835 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EMBU-GUACU; EMBU-GUACU ;2017; 2 ; MASCULINO ; MADRUGADA ; NAO DISPONIVEL ; NAO DISPONIVEL ; 18-24 ; -23.8663183435739 ; -46.8309437950063 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EMBU-GUACU; EMBU-GUACU ;2017; 2 ; MASCULINO ; MADRUGADA ; NAO DISPONIVEL ; NAO DISPONIVEL ; 60-64 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EMBU-GUACU; EMBU-GUACU ;2017; 2 ; MASCULINO ; MADRUGADA ; OUTROS ; MOTOCICLETA ; 18-24 ; -23.875483 ; -46.792429 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EMBU-GUACU; EMBU-GUACU ;2017; 2 ; MASCULINO ; MANHÇ ; ATROPELAMENTO ; PEDESTRE ; 55-59 ; -23.7879372961302 ; -46.8113339860981 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESPIRITO SANTO DO PINHAL; ESPIRITO SANTO DO PINHAL ;2017; 2 ; MASCULINO ; MANHÇ ; CHOQUE ; BICICLETA ; 55-59 ; -22.198307 ; -46.762866 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FRANCA; FRANCA ;2017; 2 ; FEMININO ; MANHÇ ; COLISAO ; MOTOCICLETA ; 18-24 ; -20.535045 ; -47.413116 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FRANCA; FRANCA ;2017; 2 ; FEMININO ; NÆo Dispon¡vel ; ATROPELAMENTO ; PEDESTRE ; 80 ou mais ; -20.513572 ; -47.387696 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GENERAL SALGADO; GENERAL SALGADO ;2017; 2 ; FEMININO ; NÆo Dispon¡vel ; COLISAO ; AUTOMOVEL ; 35-39 ; -20.6446277258955 ; -50.3839853963127 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUAIMBE; GUAIMBE ;2017; 2 ; MASCULINO ; MADRUGADA ; COLISAO ; AUTOMOVEL ; 25-29 ; -21.946852 ; -49.812947 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUARACI; GUARACI ;2017; 2 ; MASCULINO ; MADRUGADA ; OUTROS ; AUTOMOVEL ; 35-39 ; -20.512654 ; -48.906921 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUARARAPES; GUARARAPES ;2017; 2 ; MASCULINO ; MANHÇ ; COLISAO ; MOTOCICLETA ; 50-54 ; -21.2088038165974 ; -50.664401010759 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUARARAPES; GUARARAPES ;2017; 2 ; MASCULINO ; TARDE ; OUTROS ; OUTROS ; 0-17 ; -21.357312 ; -50.716444 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUARAREMA; GUARAREMA ;2017; 2 ; MASCULINO ; NOITE ; CHOQUE ; BICICLETA ; 0-17 ; -23.419094 ; -46.003156 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUARAREMA; GUARAREMA ;2017; 2 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 75-79 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUARATINGUETA; GUARATINGUETA ;2017; 2 ; FEMININO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 55-59 ; -22.775857 ; -45.186606 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUARATINGUETA; GUARATINGUETA ;2017; 2 ; MASCULINO ; NÆo Dispon¡vel ; ATROPELAMENTO ; PEDESTRE ; 50-54 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUAREI; GUAREI ;2017; 2 ; MASCULINO ; MANHÇ ; ATROPELAMENTO ; PEDESTRE ; 70-74 ; -23.369698 ; -48.182049 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUARULHOS; GUARULHOS ;2017; 2 ; FEMININO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 18-24 ; -23.4685802842179 ; -46.5162943297634 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUARULHOS; GUARULHOS ;2017; 2 ; FEMININO ; MANHÇ ; COLISAO ; AUTOMOVEL ; 40-44 ; -23.397065 ; -46.39823 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUARULHOS; GUARULHOS ;2017; 2 ; FEMININO ; MANHÇ ; OUTROS ; PEDESTRE ; 50-54 ; -23.4587644790917 ; -46.4820268941953 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUARULHOS; GUARULHOS ;2017; 2 ; FEMININO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 0-17 ; -23.440112 ; -46.556034 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUARULHOS; GUARULHOS ;2017; 2 ; FEMININO ; NOITE ; CHOQUE ; MOTOCICLETA ; 30-34 ; -23.4646313733716 ; -46.5293153186726 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUARULHOS; GUARULHOS ;2017; 2 ; FEMININO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 35-39 ; -23.464653 ; -46.529525 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUARULHOS; GUARULHOS ;2017; 2 ; MASCULINO ; MADRUGADA ; CHOQUE ; MOTOCICLETA ; 18-24 ; -23.4587047668061 ; -46.4474876403948 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUARULHOS; GUARULHOS ;2017; 2 ; MASCULINO ; MANHÇ ; ATROPELAMENTO ; PEDESTRE ; 35-39 ; -23.4211197127408 ; -46.5429430710378 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUARULHOS; GUARULHOS ;2017; 2 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 50-54 ; -23.459475 ; -46.554609 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUARULHOS; GUARULHOS ;2017; 2 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; NÆo Dispon¡vel ; -23.4655597983608 ; -46.5007104160002 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUARULHOS; GUARULHOS ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 25-29 ; -23.4499657067915 ; -46.4754151107248 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUARULHOS; GUARULHOS ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 30-34 ; -23.4193546619504 ; -46.3822770605359 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUARULHOS; GUARULHOS ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; NAO DISPONIVEL ; 45-49 ; -23.402241 ; -46.470116 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HORTOLANDIA; HORTOLANDIA ;2017; 2 ; MASCULINO ; MADRUGADA ; OUTROS ; AUTOMOVEL ; 45-49 ; -22.850753 ; -47.232291 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HORTOLANDIA; HORTOLANDIA ;2017; 2 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 50-54 ; -22.879919630 ; -47.197146327 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBIRA; IBIRA ;2017; 2 ; FEMININO ; TARDE ; COLISAO ; AUTOMOVEL ; 25-29 ; -21.0853375811963 ; -49.2554658794143 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBIRA; IBIRA ;2017; 2 ; MASCULINO ; TARDE ; COLISAO ; AUTOMOVEL ; 45-49 ; -21.112865 ; -49.182099 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBIUNA; IBIUNA ;2017; 2 ; MASCULINO ; TARDE ; COLISAO ; MOTOCICLETA ; 18-24 ; -23.6463250269331 ; -47.2161031023378 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IGUAPE; IGUAPE ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 40-44 ; -24.5028452243586 ; -47.5625748786517 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
