;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;  Munic¡pio Acidente ;Ano;Mˆs;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomo‡Æo da V¡tima;Faixa Et ria;Latitude Acidente;Longitude Acidente;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; NÆo Dispon¡vel ; ATROPELAMENTO ; PEDESTRE ; 60-64 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; NÆo Dispon¡vel ; ATROPELAMENTO ; PEDESTRE ; 70-74 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; NÆo Dispon¡vel ; OUTROS ; PEDESTRE ; 65-69 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 30-34 ; -23.5812563826192 ; -46.5719439175225 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 35-39 ; -23.4493240764152 ; -46.5695177788873 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 40-44 ; -23.5225266256657 ; -46.49480818872 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 45-49 ; -23.604579 ; -46.508969 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 45-49 ; -23.444332 ; -46.707669 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 50-54 ; -23.606451132545 ; -46.5937069058997 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 65-69 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 65-69 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 80 ou mais ; -23.5407207064347 ; -46.6044030605217 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; NÆo Dispon¡vel ; -23.56052 ; -46.567616 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; NOITE ; CHOQUE ; AUTOMOVEL ; 25-29 ; -23.674238 ; -46.788006 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; NOITE ; CHOQUE ; MOTOCICLETA ; 0-17 ; -23.667451 ; -46.761914 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; BICICLETA ; 30-34 ; -23.6191450966835 ; -46.4939381127061 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 0-17 ; -23.4942522822301 ; -46.4645321085698 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 25-29 ; -23.638993 ; -46.779796 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 45-49 ; -23.592978 ; -46.406695 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; NOITE ; OUTROS ; MOTOCICLETA ; 30-34 ; -23.612292 ; -46.607306 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; SAO PAULO ;2017; 2 ; MASCULINO ; NOITE ; OUTROS ; MOTOCICLETA ; 35-39 ; -23.4881551791022 ; -46.5078813890159 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 30-34 ; -23.5537446031176 ; -46.6457318084117 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 50-54 ; -23.4500051039456 ; -46.7105503418475 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 50-54 ; -23.6897229766489 ; -46.6457820569355 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 65-69 ; -23.50540679615 ; -46.5216865849621 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; TARDE ; CHOQUE ; AUTOMOVEL ; 80 ou mais ; -23.5815785928574 ; -46.6441667880275 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; TARDE ; CHOQUE ; MOTOCICLETA ; 30-34 ; -23.499822162859 ; -46.527971056927 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; TARDE ; CHOQUE ; NAO DISPONIVEL ; 30-34 ; -23.652028 ; -46.725004 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; TARDE ; COLISAO ; MOTOCICLETA ; 18-24 ; -23.7104037733428 ; -46.6599865835428 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; TARDE ; COLISAO ; MOTOCICLETA ; 25-29 ; -23.708089 ; -46.627093 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; TARDE ; COLISAO ; MOTOCICLETA ; 55-59 ; -23.541013946966 ; -46.6027299359152 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; TARDE ; NAO DISPONIVEL ; MOTOCICLETA ; 0-17 ; -23.441821 ; -46.707397 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO ROQUE; SAO ROQUE ;2017; 2 ; MASCULINO ; MANHÇ ; CHOQUE ; MOTOCICLETA ; 30-34 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; Sao Sebastiao da Grama ;2017; 2 ; MASCULINO ; NÆo Dispon¡vel ; COLISAO ; AUTOMOVEL ; 35-39 ; -21.7053928497397 ; -46.8452406721881 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; SAO VICENTE ;2017; 2 ; FEMININO ; NOITE ; ATROPELAMENTO ; MOTOCICLETA ; 50-54 ; -23.944622163 ; -46.4633991389999 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO VICENTE; SAO VICENTE ;2017; 2 ; FEMININO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 35-39 ; -23.969023 ; -46.362065 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO VICENTE; SAO VICENTE ;2017; 2 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 40-44 ; -23.988805 ; -46.491841 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SERTAOZINHO; SERTAOZINHO ;2017; 2 ; MASCULINO ; MADRUGADA ; COLISAO ; AUTOMOVEL ; 30-34 ; -21.077071422 ; -47.901291376 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SERTAOZINHO; SERTAOZINHO ;2017; 2 ; MASCULINO ; NÆo Dispon¡vel ; COLISAO ; MOTOCICLETA ; 18-24 ; -21.153760193 ; -47.972346039 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SERTAOZINHO; SERTAOZINHO ;2017; 2 ; MASCULINO ; NÆo Dispon¡vel ; COLISAO ; MOTOCICLETA ; 60-64 ; -21.14548 ; -48.004409 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SOCORRO; SOCORRO ;2017; 2 ; MASCULINO ; MANHÇ ; COLISAO ; MOTOCICLETA ; 30-34 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; SOROCABA ;2017; 2 ; FEMININO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 35-39 ; -23.4685940222653 ; -47.4222148083818 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SOROCABA; SOROCABA ;2017; 2 ; FEMININO ; MADRUGADA ; OUTROS ; MOTOCICLETA ; 40-44 ; -23.506596 ; -47.482914 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SOROCABA; SOROCABA ;2017; 2 ; FEMININO ; MANHÇ ; OUTROS ; AUTOMOVEL ; 35-39 ; -23.444001 ; -47.521430 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SOROCABA; SOROCABA ;2017; 2 ; MASCULINO ; MADRUGADA ; NAO DISPONIVEL ; MOTOCICLETA ; 25-29 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SOROCABA; SOROCABA ;2017; 2 ; MASCULINO ; MANHÇ ; OUTROS ; AUTOMOVEL ; 18-24 ; -23.444001 ; -47.521430 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SOROCABA; SOROCABA ;2017; 2 ; MASCULINO ; MANHÇ ; OUTROS ; AUTOMOVEL ; 30-34 ; -23.444001 ; -47.521430 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SOROCABA; SOROCABA ;2017; 2 ; MASCULINO ; TARDE ; CHOQUE ; AUTOMOVEL ; 45-49 ; -23.43926 ; -47.516177 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SOROCABA; SOROCABA ;2017; 2 ; MASCULINO ; TARDE ; OUTROS ; MOTOCICLETA ; 30-34 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUMARE; SUMARE ;2017; 2 ; MASCULINO ; TARDE ; CHOQUE ; OUTROS ; 18-24 ; -22.7956 ; -47.19439 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUZANO; SUZANO ;2017; 2 ; FEMININO ; MANHÇ ; ATROPELAMENTO ; PEDESTRE ; 55-59 ; -23.526855 ; -46.304897 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUZANO; SUZANO ;2017; 2 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 0-17 ; -23.549596 ; -46.293247 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; TABOAO DA SERRA ;2017; 2 ; MASCULINO ; MANHÇ ; COLISAO ; MOTOCICLETA ; 18-24 ; -23.6077163523552 ; -46.7665963358457 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TABOAO DA SERRA; TABOAO DA SERRA ;2017; 2 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 35-39 ; -23.6179630192784 ; -46.800020245421 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TABOAO DA SERRA; TABOAO DA SERRA ;2017; 2 ; MASCULINO ; TARDE ; COLISAO ; MOTOCICLETA ; 30-34 ; -23.608518 ; -46.754167 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAIACU; TAIACU ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 18-24 ; -21.143170 ; -48.513051 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TATUI; TATUI ;2017; 2 ; FEMININO ; TARDE ; COLISAO ; MOTOCICLETA ; 40-44 ; -23.3467898759818 ; -47.8386285151636 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TATUI; TATUI ;2017; 2 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; NÆo Dispon¡vel ; -23.358578650 ; -47.877357020 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TATUI; TATUI ;2017; 2 ; MASCULINO ; NOITE ; OUTROS ; BICICLETA ; 60-64 ; -23.34295 ; -47.849479 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; TATUI ;2017; 2 ; MASCULINO ; TARDE ; COLISAO ; CAMINHAO ; 35-39 ; -23.265048 ; -47.840685 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TREMEMBE; TREMEMBE ;2017; 2 ; MASCULINO ; NÆo Dispon¡vel ; OUTROS ; AUTOMOVEL ; 55-59 ; -22.992344 ; -45.563111 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TUPA; TUPA ;2017; 2 ; FEMININO ; NOITE ; OUTROS ; MOTOCICLETA ; 45-49 ; -22.065542 ; -50.57424 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TUPA; TUPA ;2017; 2 ; MASCULINO ; MANHÇ ; CHOQUE ; MOTOCICLETA ; 30-34 ; -21.943687 ; -50.495193 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TUPA; TUPA ;2017; 2 ; MASCULINO ; NOITE ; OUTROS ; MOTOCICLETA ; 30-34 ; -22.065542 ; -50.57424 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UBARANA; UBARANA ;2017; 2 ; MASCULINO ; MADRUGADA ; COLISAO ; MOTOCICLETA ; 45-49 ; -21.153964195592 ; -49.707175793591 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALPARAISO; VALPARAISO ;2017; 2 ; MASCULINO ; NÆo Dispon¡vel ; NAO DISPONIVEL ; AUTOMOVEL ; 18-24 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VARGEM; VARGEM ;2017; 2 ; FEMININO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 60-64 ; -22.8876861349617 ; -46.4119230192885 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VOTORANTIM; VOTORANTIM ;2017; 2 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 25-29 ; -23.550285 ; -47.457564 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VOTUPORANGA; VOTUPORANGA ;2017; 2 ; MASCULINO ; NOITE ; NAO DISPONIVEL ; NAO DISPONIVEL ; 25-29 ; -20.352616 ; -49.98831 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VOTUPORANGA; VOTUPORANGA ;2017; 2 ; MASCULINO ; TARDE ; COLISAO ; CAMINHAO ; 50-54 ; -20.3916943797309 ; -50.012106911091 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
*Fonte: Base Registro Digital de Ocorrˆncia e Crimes Violentos de Letalidade Intencional ? SSP/SP ? Fev/2017.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
