;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;  Município Acidente ;Ano;Mês;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomoção da Vítima;Faixa Etária;Latitude Acidente;Longitude Acidente;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CARAPICUIBA; CARAPICUIBA ;2017; 3 ; FEMININO ; TARDE ; COLISAO ; MOTOCICLETA ; 50-54 ; -23.524116 ; -46.83028 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CARAPICUIBA; CARAPICUIBA ;2017; 3 ; MASCULINO ; MADRUGADA ; COLISAO ; MOTOCICLETA ; 35-39 ; -23.557615 ; -46.843041 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CARAPICUIBA; CARAPICUIBA ;2017; 3 ; MASCULINO ; MANHA ; COLISAO ; MOTOCICLETA ; 40-44 ; -23.520088 ; -46.856209 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CATANDUVA; CATANDUVA ;2017; 3 ; FEMININO ; MANHA ; COLISAO ; AUTOMOVEL ; 50-54 ; -21.170510000 ; -48.973100000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CATANDUVA; CATANDUVA ;2017; 3 ; MASCULINO ; NAO DISPONIVEL ; OUTROS ; AUTOMOVEL ; 40-44 ; -21.164605 ; -48.98852 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CATANDUVA; CATANDUVA ;2017; 3 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 45-49 ; -21.140335 ; -48.953988 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CEDRAL; CEDRAL ;2017; 3 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; MOTOCICLETA ; 50-54 ; -20.917718 ; -49.293726 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CEDRAL; CEDRAL ;2017; 3 ; MASCULINO ; NAO DISPONIVEL ; OUTROS ; AUTOMOVEL ; 0-17 ; -20.913307 ; -49.265201 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CESARIO LANGE; CESARIO LANGE ;2017; 3 ; FEMININO ; NOITE ; COLISAO ; MOTOCICLETA ; 0-17 ; -23.2060857088393 ; -47.9463294979764 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COLINA; COLINA ;2017; 3 ; MASCULINO ; NOITE ; COLISAO ; BICICLETA ; 45-49 ; -20.724074 ; -48.528934 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CONCHAS; CONCHAS ;2017; 3 ; MASCULINO ; MANHA ; CHOQUE ; MOTOCICLETA ; 18-24 ; -23.022932 ; -48.011540 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CONCHAS; CONCHAS ;2017; 3 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 75-79 ; -23.016972 ; -48.002521 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COSMORAMA; COSMORAMA ;2017; 3 ; MASCULINO ; NOITE ; COLISAO ; AUTOMOVEL ; 50-54 ; -20.4938580789318 ; -49.7889106938659 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COTIA; COTIA ;2017; 3 ; FEMININO ; MADRUGADA ; CHOQUE ; AUTOMOVEL ; 55-59 ; -23.606114 ; -46.864747 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COTIA; COTIA ;2017; 3 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 70-74 ; NAO DISPONIVEL ; NAO DISPONIVEL ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COTIA; COTIA ;2017; 3 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 35-39 ; -23.6072317029095 ; -46.949553747602 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COTIA; COTIA ;2017; 3 ; MASCULINO ; NOITE ; NAO DISPONIVEL ; MOTOCICLETA ; 25-29 ; -23.600766 ; -46.859746 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CRAVINHOS; CRAVINHOS ;2017; 3 ; FEMININO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 18-24 ; -21.3689833173663 ; -47.7143609073941 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CUBATAO; CUBATAO ;2017; 3 ; FEMININO ; TARDE ; COLISAO ; AUTOMOVEL ; 80 ou mais ;-23.9006802520766 ;-46.4540881768063 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIADEMA; DIADEMA ;2017; 3 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 40-44 ; -23.6737178248696 ; -46.6292903677342 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIADEMA; DIADEMA ;2017; 3 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 18-24 ; -23.706374 ; -46.599596 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIADEMA; DIADEMA ;2017; 3 ; MASCULINO ; TARDE ; COLISAO ; MOTOCICLETA ; 35-39 ; -23.7190105868336 ; -46.6280489841033 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIADEMA; DIADEMA ;2017; 3 ; MASCULINO ; TARDE ; COLISAO ; MOTOCICLETA ; 40-44 ; -23.6815884061754 ; -46.6102336432407 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EMBU DAS ARTES; EMBU DAS ARTES ;2017; 3 ; MASCULINO ; NOITE ; CHOQUE ; AUTOMOVEL ; 30-34 ; NAO DISPONIVEL ; NAO DISPONIVEL ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EMBU DAS ARTES; EMBU DAS ARTES ;2017; 3 ; NAO DISPONIVEL ; MADRUGADA ; COLISAO ; AUTOMOVEL ; NAO DISPONIVEL ; -23.6829825045498 ; -46.8584328215038 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESPIRITO SANTO DO PINHAL; ESPIRITO SANTO DO PINHAL ;2017; 3 ; FEMININO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 45-49 ; -22.1889006581487 ; -46.7668925625913 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESTRELA DO NORTE; ESTRELA DO NORTE ;2017; 3 ; MASCULINO ; MADRUGADA ; OUTROS ; AUTOMOVEL ; 18-24 ; -22.486656 ; -51.669552 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FARTURA; FARTURA ;2017; 3 ; FEMININO ; NOITE ; CHOQUE ; MOTOCICLETA ; 50-54 ; -23.316826798925 ; -49.4703470676695 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FERNANDOPOLIS; FERNANDOPOLIS ;2017; 3 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 65-69 ; -20.265054 ; -50.246393 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ferraz de Vasconcelos; Ferraz de Vasconcelos ;2017; 3 ; MASCULINO ; MANHA ; ATROPELAMENTO ; PEDESTRE ; 50-54 ; NAO DISPONIVEL ; NAO DISPONIVEL ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FERRAZ DE VASCONCELOS; FERRAZ DE VASCONCELOS ;2017; 3 ; NAO DISPONIVEL ; TARDE ; OUTROS ; MOTOCICLETA ; 25-29 ; -23.556762 ; -46.376559 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FLOREAL; FLOREAL ;2017; 3 ; FEMININO ; TARDE ; CHOQUE ; AUTOMOVEL ; 0-17 ; -20.6776613315769 ; -50.1533021366963 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FRANCA; FRANCA ;2017; 3 ; MASCULINO ; MADRUGADA ; COLISAO ; AUTOMOVEL ; 30-34 ; -20.4961626718974 ; -47.4068409599611 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FRANCA; FRANCA ;2017; 3 ; MASCULINO ; MADRUGADA ; COLISAO ; BICICLETA ; 60-64 ; -20.543754 ; -47.374861 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FRANCA; FRANCA ;2017; 3 ; MASCULINO ; NOITE ; COLISAO ; BICICLETA ; 70-74 ; -20.483328 ; -47.402523 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FRANCO DA ROCHA; FRANCO DA ROCHA ;2017; 3 ; MASCULINO ; MANHA ; OUTROS ; MOTOCICLETA ; 18-24 ; -23.3331645605602 ; -46.7195586173892 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FRANCO DA ROCHA; FRANCO DA ROCHA ;2017; 3 ; MASCULINO ; TARDE ; COLISAO ; MOTOCICLETA ; 35-39 ; -23.3136320656166 ; -46.7569955772035 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
