MunAcidente,Ano,Mes,Sexo,Periodo,TipAcidente,Modal,FaixaEt,Latitude,Longitude
Araras,2016.0,9.0,Masculino,Madrugada,Choque,Automovel,45-49,-47.354215,-47.354215
Araras,2016.0,12.0,Feminino,Noite,Atropelamento,Pedestre,80 Ou Mais,-47.394628999999995,-47.394628999999995
Araras,2016.0,12.0,ND,Noite,Colisao,Bicicleta,ND,-47.363788,-47.363788
Araras,2017.0,1.0,Masculino,Tarde,Outros,Automovel,30-34,-47.400529,-47.400529
Araras,2016.0,9.0,Masculino,Noite,Atropelamento,Pedestre,ND,-47.3934,-47.3934
Araras,2017.0,1.0,Masculino,Madrugada,Outros,Automovel,25-29,-47.3934,-47.3934
Arealva,2016.0,10.0,Feminino,Madrugada,Colisao,Automovel,18-24,-49.022655431623,-49.022655431623
Areiopolis,2016.0,11.0,Masculino,ND,Atropelamento,Pedestre,55-59,-48.669755,-48.669755
Areiopolis,2016.0,12.0,Masculino,Noite,Atropelamento,Pedestre,60-64,-48.6853580982306,-48.6853580982306
Areiopolis,2016.0,12.0,Masculino,Noite,Atropelamento,Pedestre,ND,-48.6853580982306,-48.6853580982306
Ariranha,2016.0,8.0,Feminino,Manha,Choque,ND,40-44,-48.750563,-48.750563
Ariranha,2016.0,11.0,Masculino,Tarde,Atropelamento,Pedestre,80 Ou Mais,,
Artur Nogueira,2016.0,9.0,Masculino,Manha,Choque,Automovel,25-29,-47.172272101323,-47.172272101323
Artur Nogueira,2017.0,1.0,Masculino,Noite,Colisao,Bicicleta,30-34,-47.17090470919471,-47.17090470919471
Artur Nogueira,2016.0,9.0,Masculino,Tarde,Outros,Outros,0-17,-47.126529999999995,-47.126529999999995
Artur Nogueira,2016.0,11.0,Masculino,Madrugada,Colisao,Bicicleta,35-39,-47.1876644138566,-47.1876644138566
Artur Nogueira,2016.0,12.0,Masculino,Noite,Atropelamento,Pedestre,40-44,-47.1801333786675,-47.1801333786675
Aruja,2016.0,11.0,Feminino,Madrugada,Colisao,Automovel,18-24,-46.276587,-46.276587
Aruja,2017.0,4.0,Masculino,Madrugada,Choque,Motocicleta,30-34,-46.341694,-46.341694
Aruja,2017.0,4.0,Masculino,Madrugada,Atropelamento,Pedestre,ND,-46.299651417468795,-46.299651417468795
Aruja,2016.0,9.0,Masculino,Tarde,Colisao,ND,60-64,-46.359198,-46.359198
Aruja,2016.0,8.0,Masculino,Noite,Choque,Automovel,70-74,-46.328243,-46.328243
Aruja,2017.0,3.0,Masculino,Noite,Colisao,Motocicleta,35-39,-46.280280393641206,-46.280280393641206
Aruja,2016.0,11.0,Masculino,Tarde,Colisao,Caminhao,40-44,-46.2740974793293,-46.2740974793293
Aruja,2017.0,2.0,Masculino,Noite,Atropelamento,Pedestre,30-34,-46.2928958335036,-46.2928958335036
Aruja,2017.0,3.0,Masculino,Madrugada,Atropelamento,Automovel,65-69,-46.3379311280921,-46.3379311280921
Aruja,2017.0,3.0,Masculino,Noite,Atropelamento,Pedestre,50-54,-46.28687513240379,-46.28687513240379
Aruja,2016.0,12.0,Masculino,Madrugada,Atropelamento,Pedestre,ND,-46.357007,-46.357007
Aruja,2016.0,10.0,Masculino,Noite,Colisao,Bicicleta,55-59,-46.359978999999996,-46.359978999999996
Aruja,2016.0,10.0,Masculino,Noite,Atropelamento,Pedestre,ND,-46.2740974793293,-46.2740974793293
Aruja,2016.0,10.0,Masculino,Manha,Atropelamento,Pedestre,40-44,-46.28687513240379,-46.28687513240379
Assis,2017.0,4.0,Masculino,Madrugada,Colisao,Motocicleta,0-17,-50.41664,-50.41664
Assis,2016.0,11.0,Masculino,Noite,Colisao,Bicicleta,50-54,-50.3696740040675,-50.3696740040675
Assis,2017.0,1.0,Masculino,Noite,Colisao,Bicicleta,65-69,-50.426909,-50.426909
Assis,2016.0,10.0,Feminino,Noite,Atropelamento,Pedestre,35-39,-50.430503275391395,-50.430503275391395
Assis,2016.0,12.0,Masculino,Madrugada,Colisao,Automovel,50-54,-50.5137795171532,-50.5137795171532
Assis,2017.0,1.0,Masculino,ND,Outros,Automovel,60-64,-50.408913,-50.408913
Assis,2016.0,12.0,Masculino,Madrugada,Colisao,Automovel,25-29,-50.5137795171532,-50.5137795171532
Assis,2016.0,12.0,Feminino,Tarde,Atropelamento,Pedestre,0-17,-50.4401259253793,-50.4401259253793
Assis,2017.0,2.0,Masculino,Noite,Colisao,Motocicleta,55-59,-50.435395,-50.435395
Atibaia,2017.0,1.0,Masculino,Tarde,Atropelamento,Pedestre,25-29,-46.552524099855795,-46.552524099855795
