;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;  Município Acidente ;Ano;Mês;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomoção da Vítima;Faixa Etária;Latitude Acidente;Longitude Acidente;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ferraz de Vasconcelos; Ferraz de Vasconcelos ;2016; 8 ; MASCULINO ; NOITE ; CHOQUE ; AUTOMÓVEL ; 18-24 ; -23.5476395 ; -46.38755 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Franca; Franca ;2016; 8 ; FEMININO ; NÃO DISPONÍVEL ; NÃO DISPONÍVEL ; NÃO DISPONÍVEL ; 35-39 ; -20.540969 ; -47.399769 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Franca; Franca ;2016; 8 ; FEMININO ; NÃO DISPONÍVEL ; NÃO DISPONÍVEL ; NÃO DISPONÍVEL ; 55-59 ; -20.53688 ; -47.429092 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Franca; Franca ;2016; 8 ; MASCULINO ; MADRUGADA ; COLISÃO ; BICICLETA ; 18-24 ; -20.583957 ; -47.374646 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Franca; Franca ;2016; 8 ; MASCULINO ; MANHÃ ; COLISÃO ; AUTOMÓVEL ; 70-74 ; -20.530968 ; -47.404006 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Franca; Franca ;2016; 8 ; MASCULINO ; NÃO DISPONÍVEL ; ATROPELAMENTO ; PEDESTRE ; 40-44 ; -20.459721 ; -47.416153 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Franca; Franca ;2016; 8 ; MASCULINO ; NÃO DISPONÍVEL ; CHOQUE ; AUTOMÓVEL ; 35-39 ; -20.579338 ; -47.377093 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Franca; Franca ;2016; 8 ; MASCULINO ; NÃO DISPONÍVEL ; COLISÃO ; BICICLETA ; 18-24 ; -20.5132661227391 ; -47.4143010661586 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Franca; Franca ;2016; 8 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 45-49 ; -20.567843 ; -47.377373 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Franca; Franca ;2016; 8 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 80 ou mais ; -20.559152 ; -47.376888 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Francisco Morato; Francisco Morato ;2016; 8 ; MASCULINO ; MADRUGADA ; NÃO DISPONÍVEL ; NÃO DISPONÍVEL ; 30-34 ; Não Disponível ; Não Disponível ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Francisco Morato; Francisco Morato ;2016; 8 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 80 ou mais ; -23.270964 ; -46.725275 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Franco da Rocha; Franco da Rocha ;2016; 8 ; MASCULINO ; NÃO DISPONÍVEL ; COLISÃO ; MOTOCICLETA ; 25-29 ; -23.325517 ; -46.752557 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guapiara; Guapiara ;2016; 8 ; MASCULINO ; MANHÃ ; COLISÃO ; AUTOMÓVEL ; 40-44 ; -24.183841633613 ; -48.5419472087289 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guara; Guara ;2016; 8 ; MASCULINO ; MADRUGADA ; COLISÃO ; CAMINHÃO ; 50-54 ; -20.5373840180241 ; -47.8243564084437 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guaratingueta; Guaratingueta ;2016; 8 ; MASCULINO ; MANHÃ ; NÃO DISPONÍVEL ; NÃO DISPONÍVEL ; 70-74 ; -22.819164373 ; -45.190015864 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guaruja; Guaruja ;2016; 8 ; FEMININO ; NOITE ; CHOQUE ; BICICLETA ; 0-17 ; Não Disponível ; Não Disponível ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guaruja; Guaruja ;2016; 8 ; FEMININO ; NOITE ; COLISÃO ; MOTOCICLETA ; 0-17 ; -23.960477 ; -46.286497 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guaruja; Guaruja ;2016; 8 ; FEMININO ; TARDE ; OUTROS ; BICICLETA ; 50-54 ; Não Disponível ; Não Disponível ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guaruja; Guaruja ;2016; 8 ; MASCULINO ; MADRUGADA ; COLISÃO ; MOTOCICLETA ; 0-17 ; -23.949014 ; -46.292258 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guaruja; Guaruja ;2016; 8 ; MASCULINO ; NOITE ; COLISÃO ; BICICLETA ; Não Disponível ; -23.913908295 ; -46.290227677 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guaruja; Guaruja ;2016; 8 ; MASCULINO ; NOITE ; COLISÃO ; MOTOCICLETA ; 18-24 ; -23.960477 ; -46.286497 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guaruja; Guaruja ;2016; 8 ; MASCULINO ; TARDE ; NÃO DISPONÍVEL ; NÃO DISPONÍVEL ; 45-49 ; -23.968782 ; -46.279706 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
