;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;  Município Acidente ;Ano;Mês;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomoção da Vítima;Faixa Etária;Latitude Acidente;Longitude Acidente;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guaratingueta; Guaratingueta ;2016; 9 ; MASCULINO ; MANHÃ ; NÃO DISPONÍVEL ; BICICLETA ; 80 ou mais ; -22.802731 ; -45.203276 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guariba; Guariba ;2016; 9 ; MASCULINO ; MADRUGADA ; COLISÃO ; MOTOCICLETA ; 30-34 ; -21.3165953833051 ; -48.1462277473383 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guaruja; Guaruja ;2016; 9 ; MASCULINO ; MADRUGADA ; NÃO DISPONÍVEL ; NÃO DISPONÍVEL ; 30-34 ; -24.010028 ; -46.292793 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guaruja; Guaruja ;2016; 9 ; MASCULINO ; NOITE ; COLISÃO ; BICICLETA ; 0-17 ; -23.967056 ; -46.281185 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guaruja; Guaruja ;2016; 9 ; MASCULINO ; NOITE ; NÃO DISPONÍVEL ; MOTOCICLETA ; 18-24 ; -23.965747222 ; -46.271683333 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guaruja; Guaruja ;2016; 9 ; MASCULINO ; TARDE ; CHOQUE ; MOTOCICLETA ; 30-34 ; -23.969397 ; -46.270581 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guaruja; Guaruja ;2016; 9 ; MASCULINO ; TARDE ; NÃO DISPONÍVEL ; NÃO DISPONÍVEL ; 60-64 ; -23.989982 ; -46.25418 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guarulhos; Guarulhos ;2016; 9 ; FEMININO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 35-39 ; -23.466111 ; -46.482882 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guarulhos; Guarulhos ;2016; 9 ; FEMININO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 40-44 ; -23.429173 ; -46.500244 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guarulhos; Guarulhos ;2016; 9 ; MASCULINO ; MADRUGADA ; CHOQUE ; AUTOMÓVEL ; 18-24 ; -23.4436401118335 ; -46.4459132381219 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guarulhos; Guarulhos ;2016; 9 ; MASCULINO ; MADRUGADA ; OUTROS ; MOTOCICLETA ; 35-39 ; -23.471565 ; -46.434774 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guarulhos; Guarulhos ;2016; 9 ; MASCULINO ; MANHÃ ; COLISÃO ; MOTOCICLETA ; 18-24 ; -23.405833 ; -46.421278 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guarulhos; Guarulhos ;2016; 9 ; MASCULINO ; NÃO DISPONÍVEL ; OUTROS ; MOTOCICLETA ; 18-24 ; -23.44238 ; -46.4961 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guarulhos; Guarulhos ;2016; 9 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 0-17 ; -23.406344 ; -46.477165 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guarulhos; Guarulhos ;2016; 9 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 50-54 ; -23.498662869742 ; -46.5601079139472 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guarulhos; Guarulhos ;2016; 9 ; MASCULINO ; NOITE ; NÃO DISPONÍVEL ; NÃO DISPONÍVEL ; Não Disponível ; -23.449501 ; -46.495284 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guarulhos; Guarulhos ;2016; 9 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 25-29 ; -23.453496 ; -46.49219 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
