;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;  Município Acidente ;Ano;Mês;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomoção da Vítima;Faixa Etária;Latitude Acidente;Longitude Acidente;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Braganca Paulista; Braganca Paulista ;2016; 12 ; FEMININO ; Não Disponível ; NÃO ESPECIFICADO ; NÃO ESPECIFICADO ; 55-59 ; Não Disponível ; Não Disponível ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Braganca Paulista; Braganca Paulista ;2016; 12 ; MASCULINO ; MADRUGADA ; COLISÃO ; CAMINHÃO ; 40-44 ; -22.9483288807005 ; -46.4784557476482 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Buri; Buri ;2016; 12 ; MASCULINO ; NOITE ; COLISÃO ; AUTOMÓVEL ; 0-17 ; -23.770381 ; -48.630878 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cabreuva; Cabreuva ;2016; 12 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 70-74 ; -23.306303 ; -47.131157 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cacapava; Cacapava ;2016; 12 ; FEMININO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 65-69 ; -23.100173 ; -45.698352 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cacapava; Cacapava ;2016; 12 ; FEMININO ; TARDE ; COLISÃO ; AUTOMÓVEL ; 60-64 ; -23.1692325210712 ; -45.7079752166888 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cacapava; Cacapava ;2016; 12 ; FEMININO ; TARDE ; OUTROS ; MOTOCICLETA ; 18-24 ; -23.1088016401549 ; -45.700870963769 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cacapava; Cacapava ;2016; 12 ; MASCULINO ; MADRUGADA ; COLISÃO ; AUTOMÓVEL ; 45-49 ; -23.0818840819682 ; -45.6613419512444 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cacapava; Cacapava ;2016; 12 ; MASCULINO ; TARDE ; COLISÃO ; AUTOMÓVEL ; 55-59 ; -23.1692325210712 ; -45.7079752166888 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cacapava; Cacapava ;2016; 12 ; MASCULINO ; TARDE ; COLISÃO ; AUTOMÓVEL ; 70-74 ; -23.1692325210712 ; -45.7079752166888 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cachoeira Paulista; Cachoeira Paulista ;2016; 12 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 18-24 ; -22.6500091711595 ; -44.9587549648546 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caieiras; Caieiras ;2016; 12 ; MASCULINO ; MADRUGADA ; COLISÃO ; CAMINHÃO ; 18-24 ; -23.3780834863027 ; -46.7724285914175 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caieiras; Caieiras ;2016; 12 ; MASCULINO ; MADRUGADA ; COLISÃO ; CAMINHÃO ; 25-29 ; -23.3780834863027 ; -46.7724285914175 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cajamar; Cajamar ;2016; 12 ; MASCULINO ; MADRUGADA ; CHOQUE ; AUTOMÓVEL ; 30-34 ; -23.2980764731088 ; -46.8614430488561 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cajamar; Cajamar ;2016; 12 ; MASCULINO ; NOITE ; COLISÃO ; AUTOMÓVEL ; 60-64 ; -23.3272169978125 ; -46.8244653192164 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cajati; Cajati ;2016; 12 ; MASCULINO ; MANHÃ ; CHOQUE ; NÃO ESPECIFICADO ; Não Disponível ; -24.8582418677538 ; -48.2113816560019 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cajati; Cajati ;2016; 12 ; MASCULINO ; Não Disponível ; NÃO ESPECIFICADO ; BICICLETA ; Não Disponível ; -24.7300047849999 ; -48.107580829 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAJURU; CAJURU ;2016; 12 ; MASCULINO ; MADRUGADA ; OUTROS ; NÃO ESPECIFICADO ; 60-64 ; -21.273054701 ; -47.290552575 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 12 ; FEMININO ; MADRUGADA ; COLISÃO ; AUTOMÓVEL ; 18-24 ; -22.7808207052502 ; -47.0253990039383 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 12 ; FEMININO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 80 ou mais ; Não Disponível ; Não Disponível ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 12 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 30-34 ; -22.871167 ; -47.155991 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 12 ; MASCULINO ; MANHÃ ; COLISÃO ; MOTOCICLETA ; 18-24 ; -22.9060107339799 ; -47.1060250467518 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 12 ; MASCULINO ; MANHÃ ; NÃO ESPECIFICADO ; AUTOMÓVEL ; 75-79 ; Não Disponível ; Não Disponível ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 12 ; MASCULINO ; Não Disponível ; NÃO ESPECIFICADO ; MOTOCICLETA ; 40-44 ; -22.9060107339799 ; -47.1060250467518 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
