,  Município Acidente ,Ano,Mês,Sexo,Turno Acidente,Tipo de Acidente,Meio de Locomoção da Vítima,Faixa Etária,Latitude Acidente,Longitude Acidente
227, Olimpia ,2016.0,8.0, MASCULINO , NOITE , ATROPELAMENTO , PEDESTRE , 70-74 , Não Disponível , Não Disponível 
228, Olimpia ,2016.0,8.0, MASCULINO , TARDE , OUTROS , AUTOMÓVEL , 55-59 , -20.734395 , -49.070678 
229, Olimpia ,2016.0,8.0, MASCULINO , TARDE , OUTROS , CAMINHÃO , 65-69 , -20.738044 , -48.924964 
230, Osasco ,2016.0,8.0, MASCULINO , MADRUGADA , COLISÃO , MOTOCICLETA , 18-24 , -23.582692 , -46.797762 
231, Osasco ,2016.0,8.0, MASCULINO , MADRUGADA , OUTROS , AUTOMÓVEL , 30-34 , -23.525505 , -46.765063 
232, Osasco ,2016.0,8.0, MASCULINO , NOITE , CHOQUE , AUTOMÓVEL , 30-34 , -23.5121808230871 , -46.802830768979 
233, Osasco ,2016.0,8.0, MASCULINO , TARDE , COLISÃO , MOTOCICLETA , 25-29 , Não Disponível , Não Disponível 
234, Ourinhos ,2016.0,8.0, MASCULINO , NOITE , NÃO DISPONÍVEL , OUTROS , 50-54 , -22.983587 , -49.86371 
235, Palestina ,2016.0,8.0, MASCULINO , MADRUGADA , COLISÃO , MOTOCICLETA , 65-69 , -20.428860 , -49.419817 
236, Paraguacu Paulista ,2016.0,8.0, MASCULINO , NÃO DISPONÍVEL , NÃO DISPONÍVEL , MOTOCICLETA , 45-49 , -22.402377 , -50.560776 
237, Pariquera-Acu ,2016.0,8.0, MASCULINO , MANHÃ , NÃO DISPONÍVEL , NÃO DISPONÍVEL , 40-44 , Não Disponível , Não Disponível 
238, Patrocinio Paulista ,2016.0,8.0, MASCULINO , MADRUGADA , COLISÃO , AUTOMÓVEL , 40-44 , -20.6212500622403 , -47.2757400690668 
239, Patrocinio Paulista ,2016.0,8.0, MASCULINO , NÃO DISPONÍVEL , COLISÃO , MOTOCICLETA , 25-29 , -20.622865205389 , -47.2478427914645 
240, Patrocinio Paulista ,2016.0,8.0, MASCULINO , NOITE , COLISÃO , BICICLETA , 60-64 , Não Disponível , Não Disponível 
241, Patrocinio Paulista ,2016.0,8.0, MASCULINO , NOITE , COLISÃO , BICICLETA , 60-64 , -20.642560 , -47.275335 
242, Pedregulho ,2016.0,8.0, FEMININO , NOITE , OUTROS , ONIBUS , 80 ou mais , -20.246737 , -47.477881 
243, Penapolis ,2016.0,8.0, MASCULINO , MADRUGADA , ATROPELAMENTO , PEDESTRE , Não Disponível , -21.447872 , -50.085426 
244, Pindamonhangaba ,2016.0,8.0, MASCULINO , MANHÃ , CHOQUE , CAMINHÃO , 30-34 , -22.853182 , -45.617222 
245, Pindamonhangaba ,2016.0,8.0, MASCULINO , NOITE , ATROPELAMENTO , PEDESTRE , 45-49 , -22.948282 , -45.396626 
246, Piracicaba ,2016.0,8.0, FEMININO , NOITE , COLISÃO , AUTOMÓVEL , 18-24 , -22.652046 , -47.795225 
247, Piracicaba ,2016.0,8.0, MASCULINO , MANHÃ , COLISÃO , MOTOCICLETA , 18-24 , -22.746353 , -47.651867 
248, Piracicaba ,2016.0,8.0, MASCULINO , MANHÃ , COLISÃO , MOTOCICLETA , 55-59 , -22.7461280712683 , -47.7028064646542 
249, Piracicaba ,2016.0,8.0, MASCULINO , NOITE , COLISÃO , AUTOMÓVEL , 18-24 , -22.652046 , -47.795225 
250, Piracicaba ,2016.0,8.0, MASCULINO , TARDE , CHOQUE , MOTOCICLETA , 18-24 , -22.743343 , -47.685548 
251, Pirapora do Bom Jesus ,2016.0,8.0, MASCULINO , TARDE , COLISÃO , MOTOCICLETA , 25-29 , -23.397734 , -47.006672 
252, Pompeia ,2016.0,8.0, FEMININO , NOITE , COLISÃO , AUTOMÓVEL , 18-24 , -22.176415 , -49.976468 
253, Pompeia ,2016.0,8.0, MASCULINO , NOITE , COLISÃO , AUTOMÓVEL , 18-24 , -22.176415 , -49.976468 
254, Porangaba ,2016.0,8.0, MASCULINO , MADRUGADA , ATROPELAMENTO , PEDESTRE , 18-24 , -23.176391 , -48.142194 
255, Porto Ferreira ,2016.0,8.0, MASCULINO , NOITE , OUTROS , AUTOMÓVEL , 60-64 , -21.856741 , -47.489835 
256, Praia Grande ,2016.0,8.0, FEMININO , MANHÃ , NÃO DISPONÍVEL , AUTOMÓVEL , 30-34 , -23.997829 , -46.410990 
257, Praia Grande ,2016.0,8.0, MASCULINO , NOITE , COLISÃO , MOTOCICLETA , 30-34 , -24.075603 , -46.588849 
258, Pratania ,2016.0,8.0, MASCULINO , TARDE , COLISÃO , MOTOCICLETA , 35-39 , -22.802928 , -48.666798 
259, Presidente Epitacio ,2016.0,8.0, FEMININO , NOITE , COLISÃO , AUTOMÓVEL , 80 ou mais , -21.782666 , -52.148632 
260, Presidente Prudente ,2016.0,8.0, FEMININO , TARDE , COLISÃO , MOTOCICLETA , 40-44 , -22.091731 , -51.410864 
261, Presidente Prudente ,2016.0,8.0, MASCULINO , NOITE , COLISÃO , AUTOMÓVEL , 75-79 , -22.121514 , -51.420084 
262, Presidente Prudente ,2016.0,8.0, MASCULINO , NOITE , COLISÃO , MOTOCICLETA , 45-49 , -22.139467 , -51.410051 
263, Presidente Prudente ,2016.0,8.0, MASCULINO , TARDE , OUTROS , AUTOMÓVEL , 50-54 , -22.137149 , -51.362176 
264, Promissao ,2016.0,8.0, FEMININO , TARDE , OUTROS , AUTOMÓVEL , 35-39 , -21.4946110849249 , -49.7798056154432 
265, Promissao ,2016.0,8.0, MASCULINO , TARDE , OUTROS , AUTOMÓVEL , Não Disponível , -21.4946110849249 , -49.7798056154432 
266, Queluz ,2016.0,8.0, MASCULINO , TARDE , CHOQUE , CAMINHÃO , 50-54 , -22.544299 , -44.785766 
267, Registro ,2016.0,8.0, MASCULINO , NOITE , COLISÃO , BICICLETA , 50-54 , -24.503015 , -47.847310 
268, Ribeirao Bonito ,2016.0,8.0, MASCULINO , MADRUGADA , COLISÃO , AUTOMÓVEL , 55-59 , -22.086044 , -48.176586 
269, Ribeirao Pires ,2016.0,8.0, FEMININO , NOITE , ATROPELAMENTO , PEDESTRE , 55-59 , -23.7447790674336 , -46.4450661062162 
270, Ribeirao Pires ,2016.0,8.0, MASCULINO , NOITE , CHOQUE , NÃO DISPONÍVEL , 35-39 , -23.679702 , -46.394937 
271, Ribeirao Preto ,2016.0,8.0, FEMININO , MADRUGADA , OUTROS , AUTOMÓVEL , 18-24 , -21.160053 , -47.813858 
272, Ribeirao Preto ,2016.0,8.0, MASCULINO , MADRUGADA , OUTROS , AUTOMÓVEL , 40-44 , -21.160054 , -47.813859 
273, Ribeirao Preto ,2016.0,8.0, MASCULINO , MANHÃ , NÃO DISPONÍVEL , NÃO DISPONÍVEL , 25-29 , -21.1535513219687 , -47.8209587950937 
274, Ribeirao Preto ,2016.0,8.0, MASCULINO , MANHÃ , NÃO DISPONÍVEL , NÃO DISPONÍVEL , 50-54 , Não Disponível , Não Disponível 
275, Ribeirao Preto ,2016.0,8.0, MASCULINO , MANHÃ , NÃO DISPONÍVEL , NÃO DISPONÍVEL , 70-74 , Não Disponível , Não Disponível 
276, Ribeirao Preto ,2016.0,8.0, MASCULINO , NOITE , ATROPELAMENTO , PEDESTRE , Não Disponível , -21.223576 , -47.769095 
277, Ribeirao Preto ,2016.0,8.0, MASCULINO , NOITE , ATROPELAMENTO , PEDESTRE , Não Disponível , -21.111036 , -47.817430 
278, Ribeirao Preto ,2016.0,8.0, MASCULINO , NOITE , NÃO DISPONÍVEL , MOTOCICLETA , 40-44 , Não Disponível , Não Disponível 
279, Ribeirao Preto ,2016.0,8.0, MASCULINO , NOITE , NÃO DISPONÍVEL , NÃO DISPONÍVEL , 60-64 , -21.193642 , -47.747565 
280, Ribeirao Preto ,2016.0,8.0, MASCULINO , TARDE , COLISÃO , AUTOMÓVEL , 60-64 , -21.185754 , -47.796186 
281, Ribeirao Preto ,2016.0,8.0, MASCULINO , TARDE , COLISÃO , BICICLETA , 60-64 , Não Disponível , Não Disponível 
282, Rinopolis ,2016.0,8.0, MASCULINO , MANHÃ , COLISÃO , AUTOMÓVEL , 45-49 , -21.693095549193 , -50.633865373603 
283, Rio Claro ,2016.0,8.0, MASCULINO , MANHÃ , COLISÃO , MOTOCICLETA , 18-24 , -22.425025 , -47.563638 
284, Sagres ,2016.0,8.0, MASCULINO , NOITE , ATROPELAMENTO , PEDESTRE , 0-17 , -21.8863284135862 , -50.9575978144138 
285, Sales Oliveira ,2016.0,8.0, FEMININO , TARDE , COLISÃO , AUTOMÓVEL , 50-54 , -20.7756212123828 , -47.7938588686222 
286, Sales Oliveira ,2016.0,8.0, MASCULINO , NOITE , CHOQUE , MOTOCICLETA , 30-34 , -20.809723 , -47.892287 
287, Sales Oliveira ,2016.0,8.0, MASCULINO , TARDE , COLISÃO , AUTOMÓVEL , 50-54 , -20.7756212123828 , -47.7938588686222 
288, Saltinho ,2016.0,8.0, MASCULINO , MANHÃ , OUTROS , AUTOMÓVEL , Não Disponível , -22.919421 , -47.756752 
289, Salto ,2016.0,8.0, MASCULINO , MADRUGADA , OUTROS , AUTOMÓVEL , 25-29 , -23.179638346235 , -47.2828789660015 
290, Salto ,2016.0,8.0, MASCULINO , MADRUGADA , OUTROS , AUTOMÓVEL , 30-34 , -23.191246 , -47.311872 
291, Salto ,2016.0,8.0, MASCULINO , NOITE , COLISÃO , AUTOMÓVEL , 30-34 , -23.1786690294123 , -47.2748000196458 
292, Salto de Pirapora ,2016.0,8.0, MASCULINO , NOITE , ATROPELAMENTO , PEDESTRE , 60-64 , -23.663774 , -47.584042 
293, Santa Barbara d'Oeste ,2016.0,8.0, FEMININO , MANHÃ , ATROPELAMENTO , PEDESTRE , 70-74 , -22.775100 , -47.403407 
