;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MAR / 2017;TOTAL;SEXO DA VÍTIMA;;;FAIXA ETÁRIA DA VÍTIMA;;;;;;;;;;;;;;;MEIO DE LOCOMOÇÃO DA VÍTIMA;;;;;;;;TIPO DE ACIDENTE;;;;; INFORMAÇÕES DO MUNICÍPIO ;;;
;  Município Acidente ;Óbitos;FEMININO;MASCULINO;Nao Disponivel;0-17;18-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80 ou mais;Nao Disponivel;AUTOMOVEL;BICICLETA;CAMINHAO;MOTOCICLETA;ONIBUS;PEDESTRE;OUTROS;Nao Disponivel;ATROPELAMENTO;CHOQUE;COLISAO;OUTROS;Nao Disponivel;  População  ;  Região Administrativa ;;
Itapevi; Itapevi ;1; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 226,211 ;  Metropolitana de São Paulo  ;;
Jacarei; Jacarei ;1; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 223,207 ;  São José dos Campos  ;;
Araraquara; Araraquara ;2; -   ; 2 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; 1 ; 222,791 ;  Central  ;;
Hortolandia; Hortolandia ;1; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 218,934 ;  Campinas  ;;
Presidente Prudente; Presidente Prudente ;6; -   ; 6 ; -   ; -   ; 2 ; -   ; 1 ; -   ; -   ; 1 ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 ; -   ; 1 ; -   ; 1 ; 1 ; 3 ; 1 ; -   ; 1 ; 217,290 ;  Presidente Prudente  ;;
Rio Claro; Rio Claro ;2; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; 196,904 ;  Campinas  ;;
Aracatuba; Aracatuba ;2; -   ; 2 ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; 188,097 ;  Araçatuba  ;;
Santa Barbara d Oeste; Santa Barbara d Oeste ;2; 1 ; 1 ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; 186,296 ;  Campinas  ;;
Ferraz de Vasconcelos; Ferraz de Vasconcelos ;2; -   ; 1 ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; 185,584 ;  Metropolitana de São Paulo  ;;
Francisco Morato; Francisco Morato ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 168,120 ;  Metropolitana de São Paulo  ;;
Itu; Itu ;5; 1 ; 4 ; -   ; 1 ; 1 ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; 3 ; -   ; -   ; 3 ; 1 ; 1 ; -   ; -   ; 165,253 ;  Sorocaba  ;;
Itapecerica da Serra; Itapecerica da Serra ;3; -   ; 3 ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; 2 ; -   ; 1 ; -   ; -   ; 164,559 ;  Metropolitana de São Paulo  ;;
Braganca Paulista; Braganca Paulista ;1; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 159,292 ;  Campinas  ;;
Pindamonhangaba; Pindamonhangaba ;1; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 158,974 ;  São José dos Campos  ;;
Itapetininga; Itapetininga ;3; -   ; 3 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; 1 ; -   ; -   ; 1 ; 1 ; 1 ; -   ; -   ; 155,410 ;  Sorocaba  ;;
Sao Caetano do Sul; Sao Caetano do Sul ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 150,860 ;  Metropolitana de São Paulo  ;;
Franco da Rocha; Franco da Rocha ;2; -   ; 2 ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; 146,129 ;  Metropolitana de São Paulo  ;;
Mogi Guacu; Mogi Guacu ;3; 1 ; 2 ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; 1 ; 1 ; -   ; 1 ; -   ; 145,149 ;  Campinas  ;;
Jau; Jau ;3; 1 ; 2 ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; 2 ; -   ; 1 ; -   ; -   ; 142,860 ;  Bauru  ;;
Botucatu; Botucatu ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 137,334 ;  Sorocaba  ;;
Atibaia; Atibaia ;1; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 135,875 ;  Campinas  ;;
Santana de Parnaiba; Santana de Parnaiba ;1; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 129,502 ;  Metropolitana de São Paulo  ;;
Araras; Araras ;3; 1 ; 2 ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 2 ; -   ; 127,501 ;  Campinas  ;;
Cubatao; Cubatao ;1; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 126,059 ;  Santos  ;;
Valinhos; Valinhos ;1; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 120,369 ;  Campinas  ;;
Jandira; Jandira ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 119,011 ;  Metropolitana de São Paulo  ;;
