;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MAR / 2017;TOTAL;SEXO DA VÍTIMA;;;FAIXA ETÁRIA DA VÍTIMA;;;;;;;;;;;;;;;MEIO DE LOCOMOÇÃO DA VÍTIMA;;;;;;;;TIPO DE ACIDENTE;;;;; INFORMAÇÕES DO MUNICÍPIO ;;;
;  Município Acidente ;Óbitos;FEMININO;MASCULINO;Nao Disponivel;0-17;18-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80 ou mais;Nao Disponivel;AUTOMOVEL;BICICLETA;CAMINHAO;MOTOCICLETA;ONIBUS;PEDESTRE;OUTROS;Nao Disponivel;ATROPELAMENTO;CHOQUE;COLISAO;OUTROS;Nao Disponivel;  População  ;  Região Administrativa ;;
Paranapanema; Paranapanema ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 19,299 ;  Itapeva  ;;
Regente Feijo; Regente Feijo ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 19,203 ;  Presidente Prudente  ;;
Engenheiro Coelho; Engenheiro Coelho ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 19,190 ;  Campinas  ;;
Pariquera-Acu; Pariquera-Acu ;1; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 19,015 ;  Registro  ;;
Juquia; Juquia ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 18,878 ;  Registro  ;;
Caconde; Caconde ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 18,752 ;  Campinas  ;;
Cerqueira Cesar; Cerqueira Cesar ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 18,716 ;  Sorocaba  ;;
Rosana; Rosana ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 18,689 ;  Presidente Prudente  ;;
Monte Azul Paulista; Monte Azul Paulista ;1; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 18,408 ;  Barretos  ;;
Aguas de Lindoia; Aguas de Lindoia ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 18,058 ;  Campinas  ;;
Viradouro; Viradouro ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 18,050 ;  Barretos  ;;
Paraibuna; Paraibuna ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 17,976 ;  São José dos Campos  ;;
Pirapora do Bom Jesus; Pirapora do Bom Jesus ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 17,865 ;  Metropolitana de São Paulo  ;;
Nazare Paulista; Nazare Paulista ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 17,842 ;  Campinas  ;;
Guapiara; Guapiara ;1; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 17,724 ;  Itapeva  ;;
Ribeirao Branco; Ribeirao Branco ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 17,723 ;  Itapeva  ;;
Itabera; Itabera ;1; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 17,653 ;  Itapeva  ;;
Aluminio; Aluminio ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 17,636 ;  Sorocaba  ;;
Mirante do Paranapanema; Mirante do Paranapanema ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 17,566 ;  Presidente Prudente  ;;
Colina; Colina ;1; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 17,550 ;  Barretos  ;;
Jacupiranga; Jacupiranga ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 17,182 ;  Registro  ;;
Cafelandia; Cafelandia ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 17,060 ;  Bauru  ;;
Elias Fausto; Elias Fausto ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 16,901 ;  Campinas  ;;
Conchas; Conchas ;2; -   ; 2 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; 16,882 ;  Sorocaba  ;;
Cesario Lange; Cesario Lange ;1; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 16,805 ;  Sorocaba  ;;
Macatuba; Macatuba ;2; 1 ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; 16,736 ;  Bauru  ;;
Itariri; Itariri ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 16,720 ;  Registro  ;;
Itirapina; Itirapina ;1; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 16,682 ;  Campinas  ;;
Severinia; Severinia ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 16,649 ;  Barretos  ;;
Salesopolis; Salesopolis ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 16,468 ;  Metropolitana de São Paulo  ;;
Charqueada; Charqueada ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 16,394 ;  Campinas  ;;
Potirendaba; Potirendaba ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 16,296 ;  São José do Rio Preto  ;;
Buritama; Buritama ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 16,268 ;  Araçatuba  ;;
Pedregulho; Pedregulho ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 16,112 ;  Franca  ;;
Pindorama; Pindorama ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 15,946 ;  São José do Rio Preto  ;;
Bady Bassitt; Bady Bassitt ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 15,893 ;  São José do Rio Preto  ;;
Altinopolis; Altinopolis ;1; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 15,558 ;  Ribeirão Preto  ;;
Tabatinga; Tabatinga ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 15,540 ;  Central  ;;
Fartura; Fartura ;1; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 15,534 ;  Itapeva  ;;
Guarei; Guarei ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 15,395 ;  Sorocaba  ;;
Ipua; Ipua ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 15,360 ;  Franca  ;;
Borborema; Borborema ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 15,114 ;  Central  ;;
Sao Lourenco da Serra; Sao Lourenco da Serra ;1; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 15,082 ;  Metropolitana de São Paulo  ;;
Panorama; Panorama ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 15,017 ;  Presidente Prudente  ;;
Eldorado; Eldorado ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 14,990 ;  Registro  ;;
Tupi Paulista; Tupi Paulista ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 14,805 ;  Presidente Prudente  ;;
Santa Adelia; Santa Adelia ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 14,735 ;  São José do Rio Preto  ;;
Sao Simao; Sao Simao ;1; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 14,689 ;  Ribeirão Preto  ;;
Itaporanga; Itaporanga ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 14,635 ;  Itapeva  ;;
Itajobi; Itajobi ;1; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 14,618 ;  São José do Rio Preto  ;;
Auriflama; Auriflama ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 14,408 ;  Araçatuba  ;;
Boa Esperanca do Sul; Boa Esperanca do Sul ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 14,303 ;  Central  ;;
Pinhalzinho; Pinhalzinho ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 14,275 ;  Campinas  ;;
Ipaussu; Ipaussu ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 14,247 ;  Marília  ;;
Taruma; Taruma ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 14,242 ;  Marília  ;;
Santa Branca; Santa Branca ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 14,059 ;  São José dos Campos  ;;
Patrocinio Paulista; Patrocinio Paulista ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 14,031 ;  Franca  ;;
Piquete; Piquete ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 13,754 ;  São José dos Campos  ;;
Presidente Bernardes; Presidente Bernardes ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 13,689 ;  Presidente Prudente  ;;
Holambra; Holambra ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 13,616 ;  Campinas  ;;
Quata; Quata ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 13,599 ;  Marília  ;;
Maracai; Maracai ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 13,473 ;  Marília  ;;
Luis Antonio; Luis Antonio ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 13,406 ;  Ribeirão Preto  ;;
Itapui; Itapui ;1; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 13,314 ;  Bauru  ;;
Pacaembu; Pacaembu ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 13,105 ;  Presidente Prudente  ;;
Urupes; Urupes ;2; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; 13,039 ;  São José do Rio Preto  ;;
Piratininga; Piratininga ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 12,875 ;  Bauru  ;;
Morungaba; Morungaba ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 12,815 ;  Campinas  ;;
Ribeirao Bonito; Ribeirao Bonito ;1; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 12,707 ;  Central  ;;
Sete Barras; Sete Barras ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 12,666 ;  Registro  ;;
Tapiratiba; Tapiratiba ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 12,635 ;  Campinas  ;;
Taguai; Taguai ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 12,598 ;  Itapeva  ;;
Mineiros do Tiete; Mineiros do Tiete ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 12,432 ;  Bauru  ;;
Joanopolis; Joanopolis ;2; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; 12,418 ;  Campinas  ;;
Palmares Paulista; Palmares Paulista ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 12,398 ;  São José do Rio Preto  ;;
Florida Paulista; Florida Paulista ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 12,315 ;  Presidente Prudente  ;;
Queluz; Queluz ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 12,285 ;  São José dos Campos  ;;
Valentim Gentil; Valentim Gentil ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 12,268 ;  São José do Rio Preto  ;;
Cananeia; Cananeia ;1; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 12,263 ;  Registro  ;;
Chavantes; Chavantes ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 12,190 ;  Marília  ;;
Duartina; Duartina ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 12,059 ;  Bauru  ;;
Serra Azul; Serra Azul ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 11,966 ;  Ribeirão Preto  ;;
Sao Sebastiao da Grama; Sao Sebastiao da Grama ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 11,960 ;  Campinas  ;;
Avanhandava; Avanhandava ;1; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 11,867 ;  Araçatuba  ;;
Palestina; Palestina ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 11,863 ;  São José do Rio Preto  ;;
Bocaina; Bocaina ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 11,767 ;  Bauru  ;;
Tabapua; Tabapua ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 11,759 ;  São José do Rio Preto  ;;
Cardoso; Cardoso ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 11,749 ;  São José do Rio Preto  ;;
Ibira; Ibira ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 11,733 ;  São José do Rio Preto  ;;
Guaicara; Guaicara ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 11,576 ;  Bauru  ;;
Sales Oliveira; Sales Oliveira ;1; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 11,255 ;  Franca  ;;
Riolandia; Riolandia ;1; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 11,170 ;  São José do Rio Preto  ;;
Divinolandia; Divinolandia ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 10,966 ;  Campinas  ;;
Iacanga; Iacanga ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 10,939 ;  Bauru  ;;
Getulina; Getulina ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 10,817 ;  Bauru  ;;
Nhandeara; Nhandeara ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 10,790 ;  São José do Rio Preto  ;;
Bernardino de Campos; Bernardino de Campos ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 10,777 ;  Marília  ;;
Estiva Gerbi; Estiva Gerbi ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 10,777 ;  Campinas  ;;
Pirangi; Pirangi ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 10,775 ;  Barretos  ;;
